Diameter of ball	delta Diameter
53.66	0.02
53.6	0.1
53.67	1
53.2	1
53.65	0.03
53	1
53.63	0.015
53.67	0.03
53.67	0.02
53.64	0.06
53.71	0.05
53.63	0.03
53.6	0.08
51.12	2
53.65	0.05
53.68	0.05
53	2
53.6	0.2
53.62	0.3	
53.67	0.005
53.65	0.01
53.42	0.18
53.66	0.1
53.4	2
53.68	0.02
53.68	0.03
53.68	0.5
53.67	0.05
53.66	0.02
53.4	0.3
	
53.64	0.01
53.6	0.5
53.64	5
53.62	0.05
53.6	0.1
53.6	0.5
53.34	0.1
54	1
53.64	0.001
53.64	0.03
53.64	0
53.66	0.05
53.65	2
53.6	0.2
50	1
53.95	0.75
53.6	0.05
53.64	0.5
53.62	0.05
53.64	0.1
53.55	1
53.65	0.1
54	1
53.66	0.06
53.66	0.06
53.65	0.005
53.64	1
54	5
53.61	0.02
53.65	0.01
53.62	0.05
53.65	1
53.64	0.01
53.66	0.01
53.62	0.05
53.64	0.02
53.45	0.2
