Mass of thingie	delta Mass
1.23	0.03
1.1	0.05
1.25	0.5
1.25	0.05
1.1	0.25
1.4	0.1	
1.3	0.1
1.3	0.1
1.35	0.05
1.3	0.1
1.25	0.025
1.1	0.1
1.25	0.1
1.3	0.1
1.3	0.1
1.4	0.5
1.1	0.02
1.1	0.1
1	0.05
1.35	0.05
1.25	0.05
1.1	0.1
1.3	0.1
1.1	0.1
1.3	0.1
1.1	0.1
1.32	0.02
1.37	0.05
1.3	0.03	
1.1	0.1
	
1.4	0.05
1.48	0.05
1.8	0.1
1.4	0.05
1.3	0.1
1.2	0.05
1.4	0.1
1.2	0.1
1.2	0.1
1.61	0.02
1.61	0.02
1.1	0.1
1.6	0.1
2.1	1.5
1.4	0.05
1.54	0.005
1.4	0.05
1.6	0.05
1.4	0.05
1.3	0.1
1.55	0.1
1.32	0.01
1.6	0.2
1.1	0.1
1.1	0.1
1.5	0.05
1.2	0.01
1.2	0.1
1.5	0.1
1.6	0.05
1.4	0.5
1.5	0.1
1.4	0.05
1.6	0.05
1.4	0.05
1.41	0.05
1.4	0.1
	
	
